,crew_type,crew_type_seq,drama_id,person_code,person_name,person_pic_url,person_role
0,배우,1,50368,18175,이민기,http://img1.daumcdn.net/thumb/C216x216/?fname=http%3A%2F%2Fimg.search.daum-img.net%2Ftvppthumb%2F4501.jpg,무열 역
1,배우,2,50368,17626,예지원,http://img1.daumcdn.net/thumb/C216x216/?fname=http%3A%2F%2Fimg.search.daum-img.net%2Ftvppthumb%2F4502.jpg,희경 역
2,배우,3,50368,18839,류승수,http://img1.daumcdn.net/thumb/C216x216/?fname=http%3A%2F%2Fimg.search.daum-img.net%2Ftvppthumb%2F4503.jpg,용수 역
3,배우,4,50368,17372,이은성,http://img1.daumcdn.net/thumb/C216x216/?fname=http%3A%2F%2Fimg.search.daum-img.net%2Ftvppthumb%2F4681.jpg,은재 역
4,배우,5,50368,20476,박희순,http://img1.daumcdn.net/thumb/C216x216/?fname=http%3A%2F%2Fimg.search.daum-img.net%2Ftvppthumb%2F4541.jpg,백민철 역
5,배우,6,50368,19125,윤문식,http://img1.daumcdn.net/thumb/C216x216/?fname=http%3A%2F%2Fcfile89.uf.daum.net%2Fimage%2F141EF40A4990C76641D2B4,이산 역
6,배우,7,50368,43593,이한위,http://img1.daumcdn.net/thumb/C216x216/?fname=http%3A%2F%2Fcfile189.uf.daum.net%2Fimage%2F1529FB094990C775565BF8,장택수 역
7,배우,8,50368,,유태호,http://img1.daumcdn.net/thumb/C216x216/?fname=http%3A%2F%2Fcfile189.uf.daum.net%2Fimage%2F1420D30C4990C79432E123,조만기 역
8,배우,9,50368,,이종구,http://img1.daumcdn.net/thumb/C216x216/?fname=http%3A%2F%2Fcfile189.uf.daum.net%2Fimage%2F111F0E0A4990C7AA2A8FAD,집주인 할아버지 역
9,배우,10,50368,,이해영,http://img1.daumcdn.net/thumb/C216x216/?fname=http%3A%2F%2Fcfile189.uf.daum.net%2Fimage%2F152A37094990C7DF17ADE3,강승호 역
10,배우,11,50368,719809,최대훈,http://img1.daumcdn.net/thumb/C216x216/?fname=http%3A%2F%2Fcfile89.uf.daum.net%2Fimage%2F1514DE0B4990C7F22BD227,아식스 역
11,배우,12,50368,,최요한,http://img1.daumcdn.net/thumb/C216x216/?fname=http%3A%2F%2Fcfile89.uf.daum.net%2Fimage%2F1420ED0C4990C813283086,아디다스 역
12,배우,13,50368,,탁성은,http://img1.daumcdn.net/thumb/C216x216/?fname=http%3A%2F%2Fcfile89.uf.daum.net%2Fimage%2F1520FC0C4990C8261E0768,수선집 아줌마 역
13,배우,14,50368,152247,이동호,http://img1.daumcdn.net/thumb/C216x216/?fname=http%3A%2F%2Fcfile89.uf.daum.net%2Fimage%2F1515420B4990C8381D874F,강모 역
14,배우,15,50368,475744,전희선,http://img1.daumcdn.net/thumb/C216x216/?fname=http%3A%2F%2Fcfile70.uf.daum.net%2Fimage%2F205CB1023E928C49E006E6,경미 역
15,배우,16,50368,519263,이진혁,http://img1.daumcdn.net/thumb/C216x216/?fname=http%3A%2F%2Fcfile167.uf.daum.net%2Fimage%2F205CB1023E97BC7D5AF11D,이형사 역
16,배우,17,50368,770661,홍우진,http://img1.daumcdn.net/thumb/C216x216/?fname=http%3A%2F%2Fcfile66.uf.daum.net%2Fimage%2F2434333B56C5860F32D7FF,출연
17,배우,18,50368,873111,차성훈,http://img1.daumcdn.net/thumb/C216x216/?fname=http%3A%2F%2Fcfile166.uf.daum.net%2Fimage%2F266ECD48561CA58D2E1BC5,연보흥기자 역
18,배우,19,50368,156387,김기두,http://img1.daumcdn.net/thumb/C216x216/?fname=http%3A%2F%2Fcfile67.uf.daum.net%2Fimage%2F22787A4E57A96C072EE50F,오짱개 역
19,제작진,1,50368,44067,정성효,http://img1.daumcdn.net/thumb/C216x216/?fname=http%3A%2F%2Fcfile69.uf.daum.net%2Fimage%2F140EBC45506CF89B3B8F34,기획
20,제작진,2,50368,,이현덕,,연출
21,제작진,3,50368,917694,황인혁,http://img1.daumcdn.net/thumb/C216x216/?fname=http%3A%2F%2Fcfile167.uf.daum.net%2Fimage%2F146062354E49C86B22F5E1,연출
22,제작진,4,50368,165487,함영훈,http://img1.daumcdn.net/thumb/C216x216/?fname=http%3A%2F%2Fcfile68.uf.daum.net%2Fimage%2F2428D53C57205B6926CADC,연출
23,제작진,5,50368,863196,박연선,http://img1.daumcdn.net/thumb/C216x216/?fname=http%3A%2F%2Fcfile66.uf.daum.net%2Fimage%2F226E783C57C3F7B5070E56,극본
