"drama_id","title","country","network","airday","airtime","prod_team","genre","start_date","end_date","status"
"53548","RNA","대한민국","KBS2","월화","21:50","이홍구 (극본)+전기상 (연출)","드라마","2000.07.10","2000.09.05","방송종료"
"55829","가문의 영광","대한민국","MBC","월화수목금","19:05","최영근 (기획)+박선자  (극본)+최영근 (연출) 외 1명","시트콤","2000.02.14","2000.05.12","방송종료"
"50489","가을동화","대한민국","KBS2","월화","21:50","이형민 (기획)+오수연 (극본)+윤석호 (연출)","드라마","2000.09.18","2000.11.07","방송종료"
"49463","경찰특공대","대한민국","SBS","수목","21:50","이종수 (기획)+이한호 (극본)+정세호 (연출)","드라마","2000.07.19","2000.09.07","방송종료"
"55696","골뱅이","대한민국","SBS",,,"박재현  (극본) 외 2명+신정관  (연출) 외 2명","시트콤","2000.10.16","2001.11.16","방송종료"
"58131","깁스 가족","대한민국","MBC","금","19:30","최성실 (극본) 외 1명","시트콤","2000.01.07","2000.05.12","방송종료"
"53052","꼭지","대한민국","KBS2","토일","19:50","이경희 (극본)+정성효 (연출)","드라마","2000.03.25","2000.09.10","방송종료"
"53582","나는 그녀가 좋다","대한민국","KBS2","월화","21:55","한준영 (극본)+전산 (연출) 외 1명","드라마","2000.01.03","2000.02.21","방송종료"
"53195","나쁜친구들","대한민국","MBC","수목","21:55","김지수 (극본)+장용우 (연출)","드라마","2000.03.01","2000.04.20","방송종료"
"60664","내일은 맑음","대한민국","KBS2",,,"윤혁민 (극본)+이유황 (연출)","드라마","2000.10.02","2001.02.17","방송종료"
"54404","논스톱1","대한민국","MBC","월화수목금","19:00",,"시트콤","2000.05.15","2000.07.28","방송종료"
"53533","눈꽃","대한민국","KBS2","월화","21:50","진수완 (극본)+김평중 (연출)","드라마","2000.11.13","2001.01.02","방송종료"
"51815","눈으로 말해요","대한민국","MBC",,,"오영숙 (극본) 외 1명+고동선 (연출)","드라마","2000.03.19","2001.03.25","방송종료"
"54405","뉴 논스톱","대한민국","MBC","월화수목금","19:00","김현희 (극본) 외 1명+김민식 (연출)","시트콤","2000.07.31","2002.05.17","방송종료"
"57782","느낌이 좋아","대한민국","MBC",,,"김홍주 (극본)+김정호 (연출) 외 1명","드라마","2000.01.03","2000.08.05","방송종료"
"49386","당신때문에","대한민국","MBC","월화수목금","20:25","이재갑 (기획)+이금림 (극본)+장근수 (연출)","드라마","2000.04.24","2000.10.13","방송종료"
"49375","뜨거운 것이 좋아","대한민국","MBC","월화","21:55","이선미 (극본) 외 2명+김남원 (연출)","드라마","2000.07.10","2000.09.05","방송종료"
"53047","루키","대한민국","SBS","월화","21:55","공영화 (기획)+주은희 (극본)+고흥식 (연출)","드라마","2000.12.11","2001.01.30","방송종료"
"49455","메디컬센터","대한민국","SBS",,,"조수원 (연출) 외 1명","드라마","2000.10.22","2001.08.12","방송종료"
"60456","TV소설 민들레","대한민국","KBS1",,,"홍영희 (극본)+전성홍 (연출)","드라마","2000.04.17","2000.10.21","방송종료"
"53555","바보같은 사랑","대한민국","KBS2","월화","21:50","노희경 (극본)+표민수 (연출)","드라마","2000.04.24","2004.06.27","방송종료"
"60574","반쪽이네","대한민국","KBS2",,,"정형석 (극본) 외 3명+이재영 (연출)","드라마","2000.01.22","2000.04.29","방송종료"
"49046","불꽃","대한민국","SBS","수목","21:55","김수현 (극본)+정을영 (연출)","드라마","2000.02.02","2000.05.18","방송종료"
"53192","비밀","대한민국","MBC","수목","21:55","박종 (기획)+정유경 (극본)+김사현 (연출)","드라마","2000.09.13","2000.11.09","방송종료"
"53494","사랑은 아무나 하나","대한민국","MBC","토일","20:00","이재갑 (기획)+김진숙 (극본)+정인 (연출)","드라마","2000.05.06","2000.10.29","방송종료"
"58317","사랑할수록","대한민국","MBC","월화수목금토","09:00","강병문 (기획)+박찬홍  (극본)+배한천  (연출)","드라마","2000.08.07","2001.02.03","방송종료"
"53571","성난 얼굴로 돌아보라","대한민국","KBS2","월화","21:50","김영찬 (극본)+이민홍 (연출) 외 1명","드라마","2000.02.28","2000.04.18","방송종료"
"50171","시트콤 세친구","대한민국","MBC","월","22:55","이성은 (극본) 외 1명+송창의 (연출)","시트콤","2000.02.14","2001.04.09","방송종료"
"53466","소설 목민심서","대한민국","KBS2",,,"박영숙 (극본) 외 1명+함형진 (연출)","드라마","2000.05.01","2000.10.12","방송종료"
"51451","신귀공자","대한민국","MBC",,,"김선영 (극본) 외 1명+이주환 (연출)","드라마","2000.07.12","2000.09.07","방송종료"
"49388","아줌마","대한민국","MBC","월화","21:55","김승수 (기획)+정성주 (극본)+안판석 (연출) 외 1명","드라마","2000.09.18","2001.03.20","방송종료"
"58735","TV소설 약속","대한민국","KBS1",,,"송정림 (극본)+지영수 (연출) 외 1명","드라마","2000.10.23","2001.04.21","방송종료"
"49399","엄마야 누나야","대한민국","MBC","토일","19:55","김세영 (기획)+조소혜 (극본)+이관희 (연출)","드라마","2000.11.04","2001.04.22","방송종료"
"53196","여자만세","대한민국","SBS","수목","21:55","예랑 (극본)+오세강 (연출)","드라마","2000.11.15","2001.01.04","방송종료"
"53327","온달 왕자들","대한민국","MBC","월화수목금","20:20","이재갑 (기획)+임성한 (극본)+권석장 (연출)","드라마","2000.10.16","2001.04.20","방송종료"
"60764","요정 컴미","대한민국","KBS2","월화수목금","17:00","황순영 (극본) 외 1명+하태진 (연출)","드라마","2000.03.06","2002.02.15","방송종료"
"49495","웬만해선 그들을 막을 수 없다","대한민국","SBS",,,"송재정 (극본) 외 1명+김병욱 (연출)","시트콤","2000.12.18","2002.02.22","방송종료"
"53665","은사시 나무","대한민국","SBS",,,"김수현 (극본)+곽영범 (연출)","드라마","2000.11.14","2000.11.14","방송종료"
"48074","이브의 모든것","대한민국","MBC","수목","07:45","박지현 (극본) 외 1명+이진석 (연출) 외 1명","드라마","2000.04.26","2000.07.06","방송종료"
"54459","자꾸만 보고 싶네","대한민국","SBS","월화수목금","20:45","박정주 (극본)+운군일 (연출)","드라마","2000.09.18","2001.03.30","방송종료"
"51405","좋아좋아","대한민국","SBS","일","08:50","권인찬 (극본) 외 1명+조남국 (연출) 외 1명","드라마","2000.04.30","2000.10.22","방송종료"
"53051","좋은걸 어떡해","대한민국","KBS1","월화수목금","20:25","최윤정 (극본)+김용규 (연출)","드라마","2000.05.01","2001.02.02","방송종료"
"49470","줄리엣의 남자","대한민국","SBS","수목","21:55","박계옥 (극본)+오종록 (연출)","드라마","2000.09.14","2000.11.09","방송종료"
"53197","진실","대한민국","MBC","수목","21:55","김인영 (극본) 외 1명+장두익 (연출)","드라마","2000.01.05","2000.02.24","방송종료"
"53509","천둥소리","대한민국","KBS2","수목","21:50","손영목 (극본)+이상우 (연출)","드라마","2000.10.18","2001.04.12","방송종료"
"53049","천사의 분노","대한민국","SBS","월화","21:55","고선희 (극본)+정을영 (연출)","드라마","2000.10.23","2000.12.05","방송종료"
"53050","태양은 가득히","대한민국","KBS2","토일","07:50","배유미 (극본) 외 1명+고영탁 (연출) 외 1명","드라마","2000.09.16","2001.03.18","방송종료"
"49640","태조 왕건","대한민국","KBS1","토일","21:45","이환경 (극본)+김종선 (연출) 외 3명","드라마","2000.04.01","2002.02.24","방송종료"
"53200","팝콘","대한민국","SBS","수목","21:55","이희명 (극본)+장기홍 (연출)","드라마","2000.05.24","2000.07.13","방송종료"
"54526","학교3","대한민국","KBS1",,,"홍진아 (극본) 외 1명+이강현 (연출) 외 1명","드라마","2000.03.05","2001.04.01","방송종료"
